,hookload,depth,friction_factor,torque,rig_state
29,469.55253509499323,17007.337356321837,0.45,27.489812374696974,off_bottom_ROB
30,321.3786570267728,16807.251034482757,0.0,0.0,off_bottom_static
31,353.97850787005245,16807.251034482757,0.15,6.138620196399636,off_bottom_POOH
32,406.29103184953834,16807.251034482757,0.3,15.97533173344601,off_bottom_POOH
33,489.8880671076898,16807.251034482757,0.45,31.680963556760265,off_bottom_POOH
34,290.6612477382247,16807.251034482757,-0.15,5.786272008210307,off_bottom_RIH
35,247.32455263386493,16807.251034482757,-0.3,13.940786519401929,off_bottom_RIH
36,182.3289590987365,16807.251034482757,-0.45,26.159598788453426,off_bottom_RIH
37,353.52839024372946,16807.251034482757,0.15,6.053925165653651,off_bottom_ROB
38,400.9096460808142,16807.251034482757,0.3,14.963854594424518,off_bottom_ROB
39,464.23814734420364,16807.251034482757,0.45,26.86302948498273,off_bottom_ROB
40,318.82662476815074,16607.164712643676,0.0,0.0,off_bottom_static
41,350.54623981162536,16607.164712643676,0.15,5.973940898257629,off_bottom_POOH
42,401.4620952439106,16607.164712643676,0.3,15.549426923993964,off_bottom_POOH
43,482.83154774474957,16607.164712643676,0.45,30.83883897666776,off_bottom_POOH
44,288.8468505132784,16607.164712643676,-0.15,5.647645139058757,off_bottom_RIH
45,246.5240723089238,16607.164712643676,-0.3,13.611996003893077,off_bottom_RIH
46,183.18684538085932,16607.164712643676,-0.45,25.520656319801297,off_bottom_RIH
47,350.10813554421463,16607.164712643676,0.15,5.891493311885018,off_bottom_ROB
48,396.223948433978,16607.164712643676,0.3,14.564732420470298,off_bottom_ROB
49,457.86322874510176,16607.164712643676,0.45,26.14821007406315,off_bottom_ROB
50,315.9965321172131,16407.078390804596,0.0,0.0,off_bottom_static
51,346.76076292697974,16407.078390804596,0.15,5.79403080669431,off_bottom_POOH
52,396.2165553781958,16407.078390804596,0.3,15.09283832484959,off_bottom_POOH
53,475.3385007980894,16407.078390804596,0.45,29.954244713053548,off_bottom_POOH
54,286.7931399762175,16407.078390804596,-0.15,5.501342575043766,off_bottom_RIH
55,245.47112400302302,16407.078390804596,-0.3,13.275042000056905,off_bottom_RIH
56,183.6648858221332,16407.078390804596,-0.45,24.889738597801962,off_bottom_RIH
57,346.3355398217172,16407.078390804596,0.15,5.714016252304544,off_bottom_ROB
58,391.1260362302426,16407.078390804596,0.3,14.136179964630161,off_bottom_ROB
59,451.05241446129963,16407.078390804596,0.45,25.393697946309118,off_bottom_ROB
60,313.13761538797036,16206.992068965517,0.0,0.0,off_bottom_static
61,343.027255491238,16206.992068965517,0.15,5.629996244808646,off_bottom_POOH
62,391.0223990325428,16206.992068965517,0.3,14.65500555111651,off_bottom_POOH
63,467.738883409599,16206.992068965517,0.45,29.065684085357802,off_bottom_POOH
64,284.676725256211,16206.992068965517,-0.15,5.362251389481979,off_bottom_RIH
65,244.40938646905386,16206.992068965517,-0.3,12.93845577784978,off_bottom_RIH
66,184.3404539507876,16206.992068965517,-0.45,24.22789922741413,off_bottom_RIH
67,342.61437874947484,16206.992068965517,0.15,5.552296649432967,off_bottom_ROB
68,386.08422903389476,16206.992068965517,0.3,13.726899756289992,off_bottom_ROB
69,444.1980312354624,16206.992068965517,0.45,24.644762569040793,off_bottom_ROB
70,310.26349083101775,16006.905747126437,0.0,0.0,off_bottom_static
