,hookload,friction_factor,depth,rig_state
131,316.95036959816343,0.15,14806.387816091954,off_bottom_POOH
132,355.39047783525325,0.3,14806.387816091954,off_bottom_POOH
133,416.6540908364109,0.45,14806.387816091954,off_bottom_POOH
134,269.7989306376703,-0.15,14806.387816091954,off_bottom_RIH
135,237.17226905900415,-0.3,14806.387816091954,off_bottom_RIH
136,188.74189388179164,-0.45,14806.387816091954,off_bottom_RIH
140,289.96762688166484,0.0,14606.301494252873,off_bottom_static
141,313.2171884936199,0.15,14606.301494252873,off_bottom_POOH
142,350.2900584792145,0.3,14606.301494252873,off_bottom_POOH
143,409.34422392576516,0.45,14606.301494252873,off_bottom_POOH
144,267.64851876629615,-0.15,14606.301494252873,off_bottom_RIH
145,236.12849969100333,-0.3,14606.301494252873,off_bottom_RIH
146,189.34685668036494,-0.45,14606.301494252873,off_bottom_RIH
150,287.06459889998115,0.0,14406.215172413793,off_bottom_static
151,309.4845110682652,0.15,14406.215172413793,off_bottom_POOH
152,345.18982710143325,0.3,14406.215172413793,off_bottom_POOH
153,402.03453383172797,0.45,14406.215172413793,off_bottom_POOH
154,265.4980191678194,-0.15,14406.215172413793,off_bottom_RIH
155,235.08464266871542,-0.3,14406.215172413793,off_bottom_RIH
156,189.95126252616396,-0.45,14406.215172413793,off_bottom_RIH
160,284.1615709182974,0.0,14206.128850574712,off_bottom_static
161,305.7524835233096,0.15,14206.128850574712,off_bottom_POOH
162,340.0898118482512,0.3,14206.128850574712,off_bottom_POOH
163,394.7250441834345,0.45,14206.128850574712,off_bottom_POOH
164,263.34741486116195,-0.15,14206.128850574712,off_bottom_RIH
165,234.04069036624776,-0.3,14206.128850574712,off_bottom_RIH
166,190.5551146891199,-0.45,14206.128850574712,off_bottom_RIH
170,281.25854293661365,0.0,14006.042528735632,off_bottom_static
171,302.0825710012884,0.15,14006.042528735632,off_bottom_POOH
172,335.1656605192126,0.3,14006.042528735632,off_bottom_POOH
173,387.8088138002863,0.45,14006.042528735632,off_bottom_POOH
174,261.16713243051714,-0.15,14006.042528735632,off_bottom_RIH
175,232.9824549163413,-0.3,14006.042528735632,off_bottom_RIH
176,191.06409176886197,-0.45,14006.042528735632,off_bottom_RIH
180,278.3552618754195,0.0,13805.956206896552,off_bottom_static
181,298.29176671665664,0.15,13805.956206896552,off_bottom_POOH
182,329.8922923476648,0.3,13805.956206896552,off_bottom_POOH
183,380.11098344272955,0.45,13805.956206896552,off_bottom_POOH
184,259.04506880058113,-0.15,13805.956206896552,off_bottom_RIH
185,231.95147946922623,-0.3,13805.956206896552,off_bottom_RIH
186,191.74032401745268,-0.45,13805.956206896552,off_bottom_RIH
190,275.4539574822359,0.0,13605.869885057471,off_bottom_static
191,294.56548606793524,0.15,13605.869885057471,off_bottom_POOH
192,324.7958250545054,0.3,13605.869885057471,off_bottom_POOH
193,372.80584247368205,0.45,13605.869885057471,off_bottom_POOH
194,256.89247481765113,-0.15,13605.869885057471,off_bottom_RIH
195,230.90904063835768,-0.3,13605.869885057471,off_bottom_RIH
196,192.33252031612275,-0.45,13605.869885057471,off_bottom_RIH
200,272.5586341311338,0.0,13405.78356321839,off_bottom_static
201,420.0490858759185,0.15,13405.78356321839,off_bottom_POOH
202,584.9523497646983,0.3,13405.78356321839,off_bottom_POOH
203,773.8923290095029,0.45,13405.78356321839,off_bottom_POOH
204,129.51755000806784,-0.15,13405.78356321839,off_bottom_RIH
205,-29.935307474741816,-0.3,13405.78356321839,off_bottom_RIH
206,-213.17637356010866,-0.45,13405.78356321839,off_bottom_RIH
210,269.6712110098138,0.0,13205.69724137931,off_bottom_static
