,K_r,K_r_allowable,L_r,component,final_flaw_depth,final_flaw_length,flaw_geometry,flaw_location,flaw_orientation,flaw_theta,service_life
31,inf,,,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",inf,1,thin_pipe,internal_surface,circumferential,90,3.1
32,inf,,,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",inf,1,thin_pipe,internal_surface,circumferential,90,3.2
33,inf,,,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",inf,1,thin_pipe,internal_surface,circumferential,90,3.3000000000000003
34,inf,,,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",inf,1,thin_pipe,internal_surface,circumferential,90,3.4000000000000004
35,inf,,,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",inf,1,thin_pipe,internal_surface,circumferential,90,3.5
36,inf,,,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",inf,1,thin_pipe,internal_surface,circumferential,90,3.6
37,inf,,,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",inf,1,thin_pipe,internal_surface,circumferential,90,3.7
38,inf,,,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",inf,1,thin_pipe,internal_surface,circumferential,90,3.8000000000000003
39,inf,,,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",inf,1,thin_pipe,internal_surface,circumferential,90,3.9000000000000004
40,inf,,,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",inf,1,thin_pipe,internal_surface,circumferential,90,4.0
41,inf,,,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",inf,1,thin_pipe,internal_surface,circumferential,90,4.1000000000000005
42,inf,,,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",inf,1,thin_pipe,internal_surface,circumferential,90,4.2
43,inf,,,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",inf,1,thin_pipe,internal_surface,circumferential,90,4.3
44,inf,,,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",inf,1,thin_pipe,internal_surface,circumferential,90,4.4
45,inf,,,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",inf,1,thin_pipe,internal_surface,circumferential,90,4.5
46,inf,,,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",inf,1,thin_pipe,internal_surface,circumferential,90,4.6000000000000005
47,inf,,,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",inf,1,thin_pipe,internal_surface,circumferential,90,4.7
48,inf,,,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",inf,1,thin_pipe,internal_surface,circumferential,90,4.800000000000001
49,inf,,,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",inf,1,thin_pipe,internal_surface,circumferential,90,4.9
50,inf,,,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",inf,1,thin_pipe,internal_surface,circumferential,90,5.0
51,inf,,,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",inf,1,thin_pipe,internal_surface,circumferential,90,5.1000000000000005
