,component,service_life,flaw_geometry,flaw_orientation,flaw_location,flaw_theta,initial_flaw_depth,initial_flaw_length,final_flaw_depth,final_flaw_length,K_r,L_r,K_r_allowable
39,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",1,thin_pipe,axial,embedded,90,1.0,40,170.61368983337817,40,0.2702056000635676,0.14836893934713247,0.9945356204303017
40,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",1,thin_pipe,axial,embedded,90,1.0,50,171.36215699253353,50,0.3140685467364802,0.13354332035244176,0.9955641397519481
41,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",1,thin_pipe,axial,embedded,90,1.0,60,172.2538301112856,60,0.35735771540706773,0.12369393262439905,0.9961901782441221
42,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",1,thin_pipe,axial,embedded,90,1.0,80,173.20766137260364,80,0.44749984714445845,0.11199593326157033,0.9968744950499995
43,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",1,thin_pipe,axial,embedded,90,1.0,100,173.49439823804997,100,0.5409868642529524,0.10541665353933719,0.9972269311810511
44,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",1,thin_pipe,axial,embedded,90,1.0,120,173.59487314945355,120,0.6366334856476471,0.10117026987879972,0.997448117150944
45,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",1,thin_pipe,axial,embedded,90,1.0,150,173.71446920136407,150,0.7857031208655616,0.09696642401601821,0.9976522337989546
46,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",1,thin_pipe,axial,embedded,90,1.0,180,175.5509681952819,180,0.9436045915986159,0.09309981323210602,0.997834705645494
47,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",1,thin_pipe,axial,embedded,90,1.0,200,177.8418843034669,200,1.0680318619823697,0.09039800634456326,0.9979622084429864
48,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",5,thin_pipe,axial,internal_surface,90,14.9,5,inf,5,inf,,
