,K_r,K_r_allowable,L_r,component,final_flaw_depth,final_flaw_length,flaw_geometry,flaw_location,flaw_orientation,flaw_theta,initial_flaw_depth,initial_flaw_length,service_life
13,0.8042934284123117,0.9974932780014213,0.10030326055783914,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",168.7615903764187,150,thin_pipe,embedded,circumferential,90,25.0,150,5
14,0.9618712525542882,0.9977172040118395,0.09558969368452976,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",171.61126271319108,180,thin_pipe,embedded,circumferential,90,25.0,180,5
15,1.0858660756273997,0.997862289923452,0.09251529749095828,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",174.32212254109365,200,thin_pipe,embedded,circumferential,90,25.0,200,5
0,0.6799525387103207,0.6934750675483602,0.9465664213443017,"75ft Bare jt.  - protected, OuterDia, max_dam, @avg elev 48.9",47.220050061935474,5,thin_pipe,internal_surface,circumferential,90,8.0,5,5
1,0.46957028519459276,0.677756865044317,0.9622373086850815,"75ft Bare jt.  - protected, OuterDia, max_dam, @avg elev 48.9",22.511452315284576,10,thin_pipe,internal_surface,circumferential,90,6.9,10,5
2,0.44138246738416975,0.6436111724005904,0.9946243283286651,"75ft Bare jt.  - protected, OuterDia, max_dam, @avg elev 48.9",19.900091029066896,15,thin_pipe,internal_surface,circumferential,90,6.7,15,5
3,0.41586425971014523,0.5721086301357637,1.0108642125798046,"75ft Bare jt.  - protected, OuterDia, max_dam, @avg elev 48.9",17.670329531346326,20,thin_pipe,internal_surface,circumferential,90,6.5,20,5
4,0.4037482363065802,0.40467224644143207,1.0462782430184527,"75ft Bare jt.  - protected, OuterDia, max_dam, @avg elev 48.9",16.66865178317947,25,thin_pipe,internal_surface,circumferential,90,6.4,25,5
5,0.38194593977838204,0.48089545940679995,1.0284753734073195,"75ft Bare jt.  - protected, OuterDia, max_dam, @avg elev 48.9",14.910396349245103,30,thin_pipe,internal_surface,circumferential,90,6.2,30,5
6,0.3716318405847989,0.4383477432232248,1.0379940915986128,"75ft Bare jt.  - protected, OuterDia, max_dam, @avg elev 48.9",14.11908428909711,35,thin_pipe,internal_surface,circumferential,90,6.1000000000000005,35,5
7,0.36184206061441065,0.42935984518431425,1.0401343955525375,"75ft Bare jt.  - protected, OuterDia, max_dam, @avg elev 48.9",13.385600330027271,40,thin_pipe,internal_surface,circumferential,90,6.0,40,5
8,0.3435328096323664,0.4743369749378545,1.0298802451445044,"75ft Bare jt.  - protected, OuterDia, max_dam, @avg elev 48.9",12.061664311170075,50,thin_pipe,internal_surface,circumferential,90,5.800000000000001,50,5
9,0.33501346736753596,0.4276277654288511,1.0405527734259854,"75ft Bare jt.  - protected, OuterDia, max_dam, @avg elev 48.9",11.474046858597246,60,thin_pipe,internal_surface,circumferential,90,5.7,60,5
10,0.31930294553791,0.42664317443257826,1.0407916116914908,"75ft Bare jt.  - protected, OuterDia, max_dam, @avg elev 48.9",10.423006800831507,80,thin_pipe,internal_surface,circumferential,90,5.5,80,5
11,0.31193897255101233,0.3709942148000084,1.0553575338930925,"75ft Bare jt.  - protected, OuterDia, max_dam, @avg elev 48.9",9.950465177541654,100,thin_pipe,internal_surface,circumferential,90,5.4,100,5
12,0.3049283058889199,0.3524472958293761,1.0607543314695624,"75ft Bare jt.  - protected, OuterDia, max_dam, @avg elev 48.9",9.508205375177315,120,thin_pipe,internal_surface,circumferential,90,5.300000000000001,120,5
13,0.29819841349677184,0.3131262874255894,1.073306811979491,"75ft Bare jt.  - protected, OuterDia, max_dam, @avg elev 48.9",9.093115880569561,150,thin_pipe,internal_surface,circumferential,90,5.2,150,5
14,0.2917247880202616,0.2997288838780965,1.0779843907323303,"75ft Bare jt.  - protected, OuterDia, max_dam, @avg elev 48.9",8.702574747648619,180,thin_pipe,internal_surface,circumferential,90,5.1000000000000005,180,5
15,0.2854842866173925,0.32642547575448344,1.0688766465968227,"75ft Bare jt.  - protected, OuterDia, max_dam, @avg elev 48.9",8.334212520066977,200,thin_pipe,internal_surface,circumferential,90,5.0,200,5
0,,,,"75ft Bare jt.  - protected, OuterDia, max_dam, @avg elev 48.9",,5,thin_pipe,external_surface,circumferential,90,24.8,5,5
1,,,,"75ft Bare jt.  - protected, OuterDia, max_dam, @avg elev 48.9",,10,thin_pipe,external_surface,circumferential,90,24.8,10,5
2,,,,"75ft Bare jt.  - protected, OuterDia, max_dam, @avg elev 48.9",,15,thin_pipe,external_surface,circumferential,90,24.8,15,5
3,,,,"75ft Bare jt.  - protected, OuterDia, max_dam, @avg elev 48.9",,20,thin_pipe,external_surface,circumferential,90,24.8,20,5
4,0.24263801927818685,0.26282325403546286,1.0921631783098622,"75ft Bare jt.  - protected, OuterDia, max_dam, @avg elev 48.9",17.801034361460978,25,thin_pipe,external_surface,circumferential,90,17.8,25,5
5,0.3033800969416359,0.306857492457714,1.0754679769395874,"75ft Bare jt.  - protected, OuterDia, max_dam, @avg elev 48.9",16.04517829026469,30,thin_pipe,external_surface,circumferential,90,15.9,30,5
6,0.34729876424283807,0.3530603063738638,1.060571399011259,"75ft Bare jt.  - protected, OuterDia, max_dam, @avg elev 48.9",14.701762884479065,35,thin_pipe,external_surface,circumferential,90,13.0,35,5
7,0.37776529939412046,0.3842421850067088,1.0516818234221865,"75ft Bare jt.  - protected, OuterDia, max_dam, @avg elev 48.9",13.73061373154552,40,thin_pipe,external_surface,circumferential,90,6.300000000000001,40,5
8,0.4142451762556466,0.46408528215225986,1.032120879495289,"75ft Bare jt.  - protected, OuterDia, max_dam, @avg elev 48.9",12.22014953017491,50,thin_pipe,external_surface,circumferential,90,3.1,50,5
9,0.4262894799169292,0.6422220050708355,0.9959022454025519,"75ft Bare jt.  - protected, OuterDia, max_dam, @avg elev 48.9",10.75791355545391,60,thin_pipe,external_surface,circumferential,90,2.5,60,5
10,0.4354010891357529,0.6700384573742327,0.9697570012738169,"75ft Bare jt.  - protected, OuterDia, max_dam, @avg elev 48.9",9.279636155329,80,thin_pipe,external_surface,circumferential,90,2.1,80,5
11,0.4422487913656137,0.6770120587015578,0.9629629395373358,"75ft Bare jt.  - protected, OuterDia, max_dam, @avg elev 48.9",8.528092509550913,100,thin_pipe,external_surface,circumferential,90,1.9000000000000001,100,5
12,0.390497164525493,0.7473226329734735,0.8879757459758922,"75ft Bare jt.  - protected, OuterDia, max_dam, @avg elev 48.9",6.602603830152704,120,thin_pipe,external_surface,circumferential,90,1.7000000000000002,120,5
13,0.4641625597892596,0.6725713597223825,0.9672893100310759,"75ft Bare jt.  - protected, OuterDia, max_dam, @avg elev 48.9",7.634448060016282,150,thin_pipe,external_surface,circumferential,90,1.6,150,5
14,0.35854117550133957,0.7780844357885731,0.8498506270223108,"75ft Bare jt.  - protected, OuterDia, max_dam, @avg elev 48.9",5.04581738204916,180,thin_pipe,external_surface,circumferential,90,1.4,180,5
