Reference Code,Nominal Size (in),Outer Diameter (m),Wall Thickness (mm),Inside Diameter (m)
API-SPEC-5L,"46""",1.1684,19.1,1.130202337
API-SPEC-5L,"46""",1.1684,20.6,1.127202337
API-SPEC-5L,"46""",1.1684,22.2,1.124002337
API-SPEC-5L,"46""",1.1684,23.8,1.120802337
API-SPEC-5L,"46""",1.1684,25.4,1.117602337
API-SPEC-5L,"46""",1.1684,27.0,1.114402337
API-SPEC-5L,"46""",1.1684,28.6,1.111202337
API-SPEC-5L,"46""",1.1684,30.2,1.108002337
API-SPEC-5L,"46""",1.1684,31.8,1.104802337
API-SPEC-5L,"48""",1.2192,8.7,1.201802438
API-SPEC-5L,"48""",1.2192,9.5,1.200202438
API-SPEC-5L,"48""",1.2192,10.3,1.198602438
API-SPEC-5L,"48""",1.2192,11.1,1.197002438
API-SPEC-5L,"48""",1.2192,11.9,1.195402438
API-SPEC-5L,"48""",1.2192,12.7,1.193802438
API-SPEC-5L,"48""",1.2192,14.3,1.190602438
API-SPEC-5L,"48""",1.2192,15.9,1.187402438
API-SPEC-5L,"48""",1.2192,17.5,1.184202438
API-SPEC-5L,"48""",1.2192,19.1,1.181002438
API-SPEC-5L,"48""",1.2192,20.6,1.178002438
API-SPEC-5L,"48""",1.2192,22.2,1.174802438
API-SPEC-5L,"48""",1.2192,23.8,1.171602438
API-SPEC-5L,"48""",1.2192,25.4,1.168402438
API-SPEC-5L,"48""",1.2192,27.0,1.165202438
API-SPEC-5L,"48""",1.2192,28.6,1.162002438
API-SPEC-5L,"48""",1.2192,30.2,1.158802438
API-SPEC-5L,"48""",1.2192,31.8,1.155602438
API-SPEC-5L,"52""",1.3208,9.5,1.301802642
API-SPEC-5L,"52""",1.3208,10.3,1.300202642
API-SPEC-5L,"52""",1.3208,11.1,1.298602642
API-SPEC-5L,"52""",1.3208,11.9,1.297002642
API-SPEC-5L,"52""",1.3208,12.7,1.295402642
API-SPEC-5L,"52""",1.3208,14.3,1.292202642
API-SPEC-5L,"52""",1.3208,15.9,1.289002642
API-SPEC-5L,"52""",1.3208,17.5,1.285802642
API-SPEC-5L,"52""",1.3208,19.1,1.282602642
API-SPEC-5L,"52""",1.3208,20.6,1.279602642
API-SPEC-5L,"52""",1.3208,22.2,1.276402642
API-SPEC-5L,"52""",1.3208,23.8,1.273202642
API-SPEC-5L,"52""",1.3208,25.4,1.270002642
API-SPEC-5L,"52""",1.3208,27.0,1.266802642
API-SPEC-5L,"52""",1.3208,28.6,1.263602642
API-SPEC-5L,"52""",1.3208,30.2,1.260402642
API-SPEC-5L,"52""",1.3208,31.8,1.257202642
API-SPEC-5L,"56""",1.4224,9.5,1.403402845
API-SPEC-5L,"56""",1.4224,10.3,1.401802845
API-SPEC-5L,"56""",1.4224,11.1,1.400202845
API-SPEC-5L,"56""",1.4224,11.9,1.398602845
API-SPEC-5L,"56""",1.4224,12.7,1.397002845
API-SPEC-5L,"56""",1.4224,14.3,1.393802845
API-SPEC-5L,"56""",1.4224,15.9,1.390602845
API-SPEC-5L,"56""",1.4224,17.5,1.387402845
API-SPEC-5L,"56""",1.4224,19.1,1.384202845
API-SPEC-5L,"56""",1.4224,20.6,1.381202845
API-SPEC-5L,"56""",1.4224,22.2,1.378002845
API-SPEC-5L,"56""",1.4224,23.8,1.374802845
API-SPEC-5L,"56""",1.4224,25.4,1.371602845
API-SPEC-5L,"56""",1.4224,27.0,1.368402845
API-SPEC-5L,"56""",1.4224,28.6,1.365202845
API-SPEC-5L,"56""",1.4224,30.2,1.362002845
API-SPEC-5L,"56""",1.4224,31.8,1.358802845
API-SPEC-5L,"60""",1.5240,9.5,1.505003048
API-SPEC-5L,"60""",1.5240,10.3,1.503403048
API-SPEC-5L,"60""",1.5240,11.1,1.501803048
API-SPEC-5L,"60""",1.5240,11.9,1.500203048
API-SPEC-5L,"60""",1.5240,12.7,1.498603048
API-SPEC-5L,"60""",1.5240,14.3,1.495403048
API-SPEC-5L,"60""",1.5240,15.9,1.492203048
API-SPEC-5L,"60""",1.5240,17.5,1.489003048
API-SPEC-5L,"60""",1.5240,19.1,1.485803048
API-SPEC-5L,"60""",1.5240,20.6,1.482803048
API-SPEC-5L,"60""",1.5240,22.2,1.479603048
API-SPEC-5L,"60""",1.5240,23.8,1.476403048
API-SPEC-5L,"60""",1.5240,25.4,1.473203048
API-SPEC-5L,"60""",1.5240,27.0,1.470003048
API-SPEC-5L,"60""",1.5240,28.6,1.466803048
API-SPEC-5L,"60""",1.5240,30.2,1.463603048
API-SPEC-5L,"60""",1.5240,31.8,1.460403048
API-SPEC-5L,"64""",1.6256,9.5,1.606603251
API-SPEC-5L,"64""",1.6256,10.3,1.605003251
API-SPEC-5L,"64""",1.6256,11.1,1.603403251
API-SPEC-5L,"64""",1.6256,11.9,1.601803251
API-SPEC-5L,"64""",1.6256,12.7,1.600203251
API-SPEC-5L,"64""",1.6256,14.3,1.597003251
API-SPEC-5L,"64""",1.6256,15.9,1.593803251
API-SPEC-5L,"64""",1.6256,17.5,1.590603251
API-SPEC-5L,"64""",1.6256,19.1,1.587403251
API-SPEC-5L,"64""",1.6256,20.6,1.584403251
API-SPEC-5L,"64""",1.6256,22.2,1.581203251
API-SPEC-5L,"64""",1.6256,23.8,1.578003251
API-SPEC-5L,"64""",1.6256,25.4,1.574803251
API-SPEC-5L,"64""",1.6256,27.0,1.571603251
API-SPEC-5L,"64""",1.6256,28.6,1.568403251
API-SPEC-5L,"64""",1.6256,30.2,1.565203251
API-SPEC-5L,"64""",1.6256,31.8,1.562003251
API-SPEC-5L,"68""",1.7272,11.9,1.703403454
API-SPEC-5L,"68""",1.7272,12.7,1.701803454
API-SPEC-5L,"68""",1.7272,14.3,1.698603454
API-SPEC-5L,"68""",1.7272,15.9,1.695403454
API-SPEC-5L,"68""",1.7272,17.5,1.692203454
API-SPEC-5L,"68""",1.7272,19.1,1.689003454
API-SPEC-5L,"68""",1.7272,20.6,1.686003454
API-SPEC-5L,"68""",1.7272,22.2,1.682803454
API-SPEC-5L,"68""",1.7272,23.8,1.679603454
API-SPEC-5L,"68""",1.7272,25.4,1.676403454
API-SPEC-5L,"68""",1.7272,27.0,1.673203454
API-SPEC-5L,"68""",1.7272,28.6,1.670003454
API-SPEC-5L,"68""",1.7272,30.2,1.666803454
API-SPEC-5L,"68""",1.7272,31.8,1.663603454
API-SPEC-5L,"72""",1.8288,12.7,1.803403658
API-SPEC-5L,"72""",1.8288,14.3,1.800203658
API-SPEC-5L,"72""",1.8288,15.9,1.797003658
API-SPEC-5L,"72""",1.8288,17.5,1.793803658
API-SPEC-5L,"72""",1.8288,19.1,1.790603658
API-SPEC-5L,"72""",1.8288,20.6,1.787603658
API-SPEC-5L,"72""",1.8288,22.2,1.784403658
API-SPEC-5L,"72""",1.8288,23.8,1.781203658
API-SPEC-5L,"72""",1.8288,25.4,1.778003658
API-SPEC-5L,"72""",1.8288,27.0,1.774803658
API-SPEC-5L,"72""",1.8288,28.6,1.771603658
API-SPEC-5L,"72""",1.8288,30.2,1.768403658
API-SPEC-5L,"72""",1.8288,31.8,1.765203658
API-SPEC-5L,"76""",1.9304,12.7,1.905003861
API-SPEC-5L,"76""",1.9304,14.3,1.901803861
API-SPEC-5L,"76""",1.9304,15.9,1.898603861
API-SPEC-5L,"76""",1.9304,17.5,1.895403861
API-SPEC-5L,"76""",1.9304,19.1,1.892203861
API-SPEC-5L,"76""",1.9304,20.6,1.889203861
API-SPEC-5L,"76""",1.9304,22.2,1.886003861
API-SPEC-5L,"76""",1.9304,23.8,1.882803861
API-SPEC-5L,"76""",1.9304,25.4,1.879603861
API-SPEC-5L,"76""",1.9304,27.0,1.876403861
API-SPEC-5L,"76""",1.9304,28.6,1.873203861
API-SPEC-5L,"76""",1.9304,30.2,1.870003861
API-SPEC-5L,"76""",1.9304,31.8,1.866803861
API-SPEC-5L,"80""",2.0320,14.3,2.003404064
API-SPEC-5L,"80""",2.0320,15.9,2.000204064
API-SPEC-5L,"80""",2.0320,17.5,1.997004064
API-SPEC-5L,"80""",2.0320,19.1,1.993804064
API-SPEC-5L,"80""",2.0320,20.6,1.990804064
API-SPEC-5L,"80""",2.0320,22.2,1.987604064
API-SPEC-5L,"80""",2.0320,23.8,1.984404064
API-SPEC-5L,"80""",2.0320,25.4,1.981204064
API-SPEC-5L,"80""",2.0320,27.0,1.978004064
API-SPEC-5L,"80""",2.0320,28.6,1.974804064
API-SPEC-5L,"80""",2.0320,30.2,1.971604064
API-SPEC-5L,"80""",2.0320,31.8,1.968404064
