,io,dominant_mode,min_mode,max_mode
60,C:\Users\achantv\Desktop\S7\HM\D6\LT\A6_L\lid06_cp061_hm.out,4.0,1.0,6.0
61,C:\Users\achantv\Desktop\S7\HM\D6\LT\A6_L\lid06_cp062_hm.out,9.0,1.0,12.0
62,C:\Users\achantv\Desktop\S7\HM\D6\LT\A6_L\lid06_cp063_hm.out,4.0,1.0,7.0
63,C:\Users\achantv\Desktop\S7\HM\D6\LT\A6_L\lid06_cp064_hm.out,3.0,1.0,6.0
64,C:\Users\achantv\Desktop\S7\HM\D6\LT\A6_L\lid06_cp065_hm.out,4.0,1.0,6.0
65,C:\Users\achantv\Desktop\S7\HM\D6\LT\A6_L\lid06_cp066_hm.out,6.0,1.0,11.0
66,C:\Users\achantv\Desktop\S7\HM\D6\LT\A6_L\lid06_cp067_hm.out,8.0,1.0,9.0
67,C:\Users\achantv\Desktop\S7\HM\D6\LT\A6_L\lid06_cp068_hm.out,3.0,1.0,8.0
68,C:\Users\achantv\Desktop\S7\HM\D6\LT\A6_L\lid06_cp069_hm.out,6.0,1.0,13.0
69,C:\Users\achantv\Desktop\S7\HM\D6\LT\A6_L\lid06_cp070_hm.out,9.0,1.0,12.0
70,C:\Users\achantv\Desktop\S7\HM\D6\LT\A6_L\lid06_cp071_hm.out,3.0,1.0,11.0
71,C:\Users\achantv\Desktop\S7\HM\D6\LT\A6_L\lid06_cp072_hm.out,11.0,1.0,14.0
72,C:\Users\achantv\Desktop\S7\HM\D6\LT\A6_L\lid06_cp073_hm.out,4.0,1.0,6.0
73,C:\Users\achantv\Desktop\S7\HM\D6\LT\A6_L\lid06_cp074_hm.out,4.0,1.0,6.0
74,C:\Users\achantv\Desktop\S7\HM\D6\LT\A6_L\lid06_cp075_hm.out,3.0,1.0,6.0
75,C:\Users\achantv\Desktop\S7\HM\D6\LT\A6_L\lid06_cp076_hm.out,3.0,1.0,9.0
76,C:\Users\achantv\Desktop\S7\HM\D6\LT\A6_L\lid06_cp077_hm.out,3.0,1.0,6.0
77,C:\Users\achantv\Desktop\S7\HM\D6\LT\A6_L\lid06_cp078_hm.out,3.0,1.0,6.0
78,C:\Users\achantv\Desktop\S7\HM\D6\LT\A6_L\lid06_cp079_hm.out,3.0,1.0,6.0
79,C:\Users\achantv\Desktop\S7\HM\D6\LT\A6_L\lid06_cp080_hm.out,6.0,1.0,11.0
80,C:\Users\achantv\Desktop\S7\HM\D6\LT\A6_L\lid06_cp081_hm.out,3.0,1.0,6.0
81,C:\Users\achantv\Desktop\S7\HM\D6\LT\A6_L\lid06_cp082_hm.out,7.0,1.0,9.0
82,C:\Users\achantv\Desktop\S7\HM\D6\LT\A6_L\lid06_cp083_hm.out,5.0,1.0,12.0
83,C:\Users\achantv\Desktop\S7\HM\D6\LT\A6_L\lid06_cp084_hm.out,4.0,1.0,6.0
84,C:\Users\achantv\Desktop\S7\HM\D6\LT\A6_L\lid06_cp085_hm.out,5.0,1.0,12.0
85,C:\Users\achantv\Desktop\S7\HM\D6\LT\A6_L\lid06_cp086_hm.out,8.0,1.0,10.0
86,C:\Users\achantv\Desktop\S7\HM\D6\LT\A6_L\lid06_cp087_hm.out,12.0,1.0,18.0
87,C:\Users\achantv\Desktop\S7\HM\D6\LT\A6_L\lid06_cp088_hm.out,5.0,1.0,6.0
88,C:\Users\achantv\Desktop\S7\HM\D6\LT\A6_L\lid06_cp089_hm.out,3.0,1.0,6.0
89,C:\Users\achantv\Desktop\S7\HM\D6\LT\A6_L\lid06_cp090_hm.out,4.0,1.0,7.0
90,C:\Users\achantv\Desktop\S7\HM\D6\LT\A6_L\lid06_cp091_hm.out,8.0,1.0,9.0
91,C:\Users\achantv\Desktop\S7\HM\D6\LT\A6_L\lid06_cp092_hm.out,4.0,1.0,6.0
92,C:\Users\achantv\Desktop\S7\HM\D6\LT\A6_L\lid06_cp093_hm.out,5.0,1.0,10.0
93,C:\Users\achantv\Desktop\S7\HM\D6\LT\A6_L\lid06_cp094_hm.out,7.0,1.0,13.0
94,C:\Users\achantv\Desktop\S7\HM\D6\LT\A6_L\lid06_cp095_hm.out,7.0,1.0,9.0
95,C:\Users\achantv\Desktop\S7\HM\D6\LT\A6_L\lid06_cp096_hm.out,10.0,1.0,13.0
96,C:\Users\achantv\Desktop\S7\HM\D6\LT\A6_L\lid06_cp097_hm.out,4.0,1.0,5.0
97,C:\Users\achantv\Desktop\S7\HM\D6\LT\A6_L\lid06_cp098_hm.out,6.0,1.0,7.0
98,C:\Users\achantv\Desktop\S7\HM\D6\LT\A6_L\lid06_cp099_hm.out,4.0,1.0,10.0
99,C:\Users\achantv\Desktop\S7\HM\D6\LT\A6_L\lid06_cp100_hm.out,3.0,1.0,10.0
100,C:\Users\achantv\Desktop\S7\HM\D6\LT\A6_L\lid06_cp101_hm.out,6.0,1.0,10.0
101,C:\Users\achantv\Desktop\S7\HM\D6\LT\A6_L\lid06_cp102_hm.out,7.0,1.0,10.0
102,C:\Users\achantv\Desktop\S7\HM\D6\LT\A6_L\lid06_cp103_hm.out,5.0,1.0,11.0
103,C:\Users\achantv\Desktop\S7\HM\D6\LT\A6_L\lid06_cp104_hm.out,4.0,1.0,6.0
104,C:\Users\achantv\Desktop\S7\HM\D6\LT\A6_L\lid06_cp105_hm.out,4.0,1.0,6.0
105,C:\Users\achantv\Desktop\S7\HM\D6\LT\A6_L\lid06_cp106_hm.out,10.0,1.0,12.0
106,C:\Users\achantv\Desktop\S7\HM\D6\LT\A6_L\lid06_cp107_hm.out,3.0,1.0,10.0
107,C:\Users\achantv\Desktop\S7\HM\D6\LT\A6_L\lid06_cp108_hm.out,9.0,1.0,12.0
108,C:\Users\achantv\Desktop\S7\HM\D6\LT\A6_L\lid06_cp109_hm.out,3.0,1.0,6.0
109,C:\Users\achantv\Desktop\S7\HM\D6\LT\A6_L\lid06_cp110_hm.out,8.0,1.0,11.0
110,C:\Users\achantv\Desktop\S7\HM\D6\LT\A6_L\lid06_cp111_hm.out,5.0,1.0,8.0
111,C:\Users\achantv\Desktop\S7\HM\D6\LT\A6_L\lid06_cp112_hm.out,10.0,1.0,13.0
112,C:\Users\achantv\Desktop\S7\HM\D6\LT\A6_L\lid06_cp113_hm.out,4.0,1.0,11.0
113,C:\Users\achantv\Desktop\S7\HM\D6\LT\A6_L\lid06_cp114_hm.out,5.0,1.0,9.0
114,C:\Users\achantv\Desktop\S7\HM\D6\LT\A6_L\lid06_cp115_hm.out,4.0,1.0,13.0
115,C:\Users\achantv\Desktop\S7\HM\D6\LT\A6_L\lid06_cp116_hm.out,3.0,1.0,10.0
116,C:\Users\achantv\Desktop\S7\HM\D6\LT\A6_L\lid06_cp117_hm.out,8.0,1.0,10.0
117,C:\Users\achantv\Desktop\S7\HM\D6\LT\A6_L\lid06_cp118_hm.out,3.0,1.0,10.0
118,C:\Users\achantv\Desktop\S7\HM\D6\LT\A6_L\lid06_cp119_hm.out,9.0,1.0,11.0
119,C:\Users\achantv\Desktop\S7\HM\D6\LT\A6_L\lid06_cp120_hm.out,11.0,1.0,15.0
120,C:\Users\achantv\Desktop\S7\HM\D6\LT\A6_L\lid06_cp121_hm.out,9.0,1.0,12.0
121,C:\Users\achantv\Desktop\S7\HM\D6\LT\A6_L\lid06_cp122_hm.out,7.0,1.0,10.0
122,C:\Users\achantv\Desktop\S7\HM\D6\LT\A6_L\lid06_cp123_hm.out,9.0,1.0,13.0
123,C:\Users\achantv\Desktop\S7\HM\D6\LT\A6_L\lid06_cp124_hm.out,7.0,1.0,9.0
124,C:\Users\achantv\Desktop\S7\HM\D6\LT\A6_L\lid06_cp125_hm.out,4.0,1.0,6.0
125,C:\Users\achantv\Desktop\S7\HM\D6\LT\A6_L\lid06_cp126_hm.out,5.0,1.0,7.0
126,C:\Users\achantv\Desktop\S7\HM\D6\LT\A6_L\lid06_cp127_hm.out,3.0,1.0,6.0
127,C:\Users\achantv\Desktop\S7\HM\D6\LT\A6_L\lid06_cp128_hm.out,4.0,1.0,9.0
128,C:\Users\achantv\Desktop\S7\HM\D6\LT\A6_L\lid06_cp129_hm.out,5.0,1.0,10.0
129,C:\Users\achantv\Desktop\S7\HM\D6\LT\A6_L\lid06_cp130_hm.out,8.0,1.0,12.0
130,C:\Users\achantv\Desktop\S7\HM\D6\LT\A6_L\lid06_cp131_hm.out,3.0,1.0,9.0
131,C:\Users\achantv\Desktop\S7\HM\D6\LT\A6_L\lid06_cp132_hm.out,6.0,1.0,7.0
132,C:\Users\achantv\Desktop\S7\HM\D6\LT\A6_L\lid06_cp133_hm.out,8.0,1.0,12.0
133,C:\Users\achantv\Desktop\S7\HM\D6\LT\A6_L\lid06_cp134_hm.out,5.0,1.0,9.0
134,C:\Users\achantv\Desktop\S7\HM\D6\LT\A6_L\lid06_cp135_hm.out,4.0,1.0,7.0
135,C:\Users\achantv\Desktop\S7\HM\D6\LT\A6_L\lid06_cp136_hm.out,3.0,1.0,8.0
136,C:\Users\achantv\Desktop\S7\HM\D6\LT\A6_L\lid06_cp137_hm.out,4.0,1.0,6.0
137,C:\Users\achantv\Desktop\S7\HM\D6\LT\A6_L\lid06_cp138_hm.out,3.0,1.0,6.0
138,C:\Users\achantv\Desktop\S7\HM\D6\LT\A6_L\lid06_cp139_hm.out,6.0,1.0,9.0
139,C:\Users\achantv\Desktop\S7\HM\D6\LT\A6_L\lid06_cp140_hm.out,7.0,1.0,10.0
140,C:\Users\achantv\Desktop\S7\HM\D6\LT\A6_L\lid06_cp141_hm.out,6.0,1.0,7.0
141,C:\Users\achantv\Desktop\S7\HM\D6\LT\A6_L\lid06_cp142_hm.out,3.0,1.0,13.0
142,C:\Users\achantv\Desktop\S7\HM\D6\LT\A6_L\lid06_cp143_hm.out,3.0,1.0,6.0
143,C:\Users\achantv\Desktop\S7\HM\D6\LT\A6_L\lid06_cp144_hm.out,6.0,1.0,8.0
144,C:\Users\achantv\Desktop\S7\HM\D6\LT\A6_L\lid06_cp145_hm.out,11.0,1.0,15.0
145,C:\Users\achantv\Desktop\S7\HM\D6\LT\A6_L\lid06_cp146_hm.out,8.0,1.0,11.0
146,C:\Users\achantv\Desktop\S7\HM\D6\LT\A6_L\lid06_cp147_hm.out,10.0,1.0,12.0
147,C:\Users\achantv\Desktop\S7\HM\D6\LT\A6_L\lid06_cp148_hm.out,7.0,1.0,9.0
148,C:\Users\achantv\Desktop\S7\HM\D6\LT\A6_L\lid06_cp149_hm.out,11.0,1.0,14.0
149,C:\Users\achantv\Desktop\S7\HM\D6\LT\A6_L\lid06_cp150_hm.out,10.0,1.0,13.0
150,C:\Users\achantv\Desktop\S7\HM\D6\LT\A6_L\lid06_cp151_hm.out,10.0,1.0,13.0
151,C:\Users\achantv\Desktop\S7\HM\D6\LT\A6_L\lid06_cp152_hm.out,11.0,1.0,15.0
152,C:\Users\achantv\Desktop\S7\HM\D6\LT\A6_L\lid06_cp153_hm.out,6.0,1.0,9.0
153,C:\Users\achantv\Desktop\S7\HM\D6\LT\A6_L\lid06_cp154_hm.out,7.0,1.0,13.0
154,C:\Users\achantv\Desktop\S7\HM\D6\LT\A6_L\lid06_cp155_hm.out,5.0,1.0,8.0
155,C:\Users\achantv\Desktop\S7\HM\D6\LT\A6_L\lid06_cp156_hm.out,11.0,1.0,13.0
156,C:\Users\achantv\Desktop\S7\HM\D6\LT\A6_L\lid06_cp157_hm.out,3.0,1.0,6.0
157,C:\Users\achantv\Desktop\S7\HM\D6\LT\A6_L\lid06_cp158_hm.out,10.0,1.0,12.0
158,C:\Users\achantv\Desktop\S7\HM\D6\LT\A6_L\lid06_cp159_hm.out,12.0,1.0,16.0
159,C:\Users\achantv\Desktop\S7\HM\D6\LT\A6_L\lid06_cp160_hm.out,11.0,1.0,15.0
160,C:\Users\achantv\Desktop\S7\HM\D6\LT\A6_L\lid06_cp161_hm.out,8.0,1.0,16.0
161,C:\Users\achantv\Desktop\S7\HM\D6\LT\A6_L\lid06_cp162_hm.out,8.0,1.0,11.0
162,C:\Users\achantv\Desktop\S7\HM\D6\LT\A6_L\lid06_cp163_hm.out,6.0,1.0,8.0
163,C:\Users\achantv\Desktop\S7\HM\D6\LT\A6_L\lid06_cp164_hm.out,11.0,1.0,13.0
164,C:\Users\achantv\Desktop\S7\HM\D6\LT\A6_L\lid06_cp165_hm.out,8.0,1.0,10.0
165,C:\Users\achantv\Desktop\S7\HM\D6\LT\A6_L\lid06_cp166_hm.out,6.0,1.0,10.0
166,C:\Users\achantv\Desktop\S7\HM\D6\LT\A6_L\lid06_cp167_hm.out,9.0,1.0,12.0
167,C:\Users\achantv\Desktop\S7\HM\D6\LT\A6_L\lid06_cp168_hm.out,4.0,1.0,6.0
168,C:\Users\achantv\Desktop\S7\HM\D6\LT\A6_L\lid06_cp169_hm.out,10.0,1.0,13.0
169,C:\Users\achantv\Desktop\S7\HM\D6\LT\A6_L\lid06_cp170_hm.out,9.0,1.0,15.0
170,C:\Users\achantv\Desktop\S7\HM\D6\LT\A6_L\lid06_cp171_hm.out,6.0,1.0,10.0
171,C:\Users\achantv\Desktop\S7\HM\D6\LT\A6_L\lid06_cp172_hm.out,3.0,1.0,5.0
